"words","frequency","first","second"
"happy monday",12,"happy","monday"
"happy thanksgiving",12,"happy","thanksgiving"
"he told",12,"he","told"
"i ate",12,"i","ate"
"i checked",12,"i","checked"
"i discovered",12,"i","discovered"
"i great",12,"i","great"
"i highly",12,"i","highly"
"i idea",12,"i","idea"
"i lost",12,"i","lost"
"i probably",12,"i","probably"
"i send",12,"i","send"
"i stop",12,"i","stop"
"i totally",12,"i","totally"
"i walked",12,"i","walked"
"i wasn’t",12,"i","wasn’t"
"i’m going",12,"i’m","going"
"im tired",12,"im","tired"
"it like",12,"it","like"
"it really",12,"it","really"
"its good",12,"its","good"
"just keep",12,"just","keep"
"just much",12,"just","much"
"just now",12,"just","now"
"just read",12,"just","read"
"just went",12,"just","went"
"know can",12,"know","can"
"know much",12,"know","much"
"least i",12,"least","i"
"like us",12,"like","us"
"lol im",12,"lol","im"
"long day",12,"long","day"
"long enough",12,"long","enough"
"long term",12,"long","term"
"long way",12,"long","way"
"love song",12,"love","song"
"makes feel",12,"makes","feel"
"miss u",12,"miss","u"
"moment i",12,"moment","i"
"much less",12,"much","less"
"never seen",12,"never","seen"
"new album",12,"new","album"
"oh gosh",12,"oh","gosh"
"oh yes",12,"oh","yes"
"past years",12,"past","years"
"really enjoyed",12,"really","enjoyed"
"really i",12,"really","i"
"really wanted",12,"really","wanted"
"so true",12,"so","true"
"sound like",12,"sound","like"
"sounds good",12,"sounds","good"
"south africa",12,"south","africa"
"spring break",12,"spring","break"
"super bowl",12,"super","bowl"
"supreme court",12,"supreme","court"
"the day",12,"the","day"
"the hunger",12,"the","hunger"
"they also",12,"they","also"
"thing ever",12,"thing","ever"
"things going",12,"things","going"
"three times",12,"three","times"
"time year",12,"time","year"
"trying figure",12,"trying","figure"
"waste time",12,"waste","time"
"way home",12,"way","home"
"we got",12,"we","got"
"went back",12,"went","back"
"will happen",12,"will","happen"
"will still",12,"will","still"
"will win",12,"will","win"
"around us",11,"around","us"
"at end",11,"at","end"
"at point",11,"at","point"
"away i",11,"away","i"
"but also",11,"but","also"
"but still",11,"but","still"
"can follow",11,"can","follow"
"can keep",11,"can","keep"
"can really",11,"can","really"
"can stop",11,"can","stop"
"come i",11,"come","i"
"cute little",11,"cute","little"
"decided i",11,"decided","i"
"does anyone",11,"does","anyone"
"dont think",11,"dont","think"
"else i",11,"else","i"
"end i",11,"end","i"
"ever since",11,"ever","since"
"family members",11,"family","members"
"far i",11,"far","i"
"first thing",11,"first","thing"
"get away",11,"get","away"
"get started",11,"get","started"
"get together",11,"get","together"
"go home",11,"go","home"
"go shopping",11,"go","shopping"
"going happen",11,"going","happen"
"going start",11,"going","start"
"good people",11,"good","people"
"good way",11,"good","way"
"great new",11,"great","new"
"happy i",11,"happy","i"
"hate i",11,"hate","i"
"have ever",11,"have","ever"
"he also",11,"he","also"
"he never",11,"he","never"
"hope u",11,"hope","u"
"how much",11,"how","much"
"i call",11,"i","call"
"i called",11,"i","called"
"i feeling",11,"i","feeling"
"i grew",11,"i","grew"
"i kept",11,"i","kept"
"i meant",11,"i","meant"
"i play",11,"i","play"
"i pretty",11,"i","pretty"
"i rather",11,"i","rather"
"i run",11,"i","run"
"i shall",11,"i","shall"
"ill give",11,"ill","give"
"ill just",11,"ill","just"
"im back",11,"im","back"
"im following",11,"im","following"
"im getting",11,"im","getting"
"im scared",11,"im","scared"
"im watching",11,"im","watching"
"im working",11,"im","working"
"its fun",11,"its","fun"
"just love",11,"just","love"
"just wanna",11,"just","wanna"
"know going",11,"know","going"
"know people",11,"know","people"
"last minute",11,"last","minute"
"late night",11,"late","night"
"like going",11,"like","going"
"live life",11,"live","life"
"live music",11,"live","music"
"looks good",11,"looks","good"
"lot i",11,"lot","i"
"love you",11,"love","you"
"made way",11,"made","way"
"make mistakes",11,"make","mistakes"
"may day",11,"may","day"
"maybe can",11,"maybe","can"
"me i",11,"me","i"
"much time",11,"much","time"
"need followers",11,"need","followers"
"new phone",11,"new","phone"
"now time",11,"now","time"
"okay i",11,"okay","i"
"one two",11,"one","two"
"one week",11,"one","week"
"people just",11,"people","just"
"phone call",11,"phone","call"
"please go",11,"please","go"
"please let",11,"please","let"
"r u",11,"r","u"
"really great",11,"really","great"
"really nice",11,"really","nice"
"s new",11,"s","new"
"school tomorrow",11,"school","tomorrow"
"second half",11,"second","half"
"several years",11,"several","years"
"she said",11,"she","said"
"something new",11,"something","new"
"soon i",11,"soon","i"
"sunday morning",11,"sunday","morning"
"super excited",11,"super","excited"
"sure can",11,"sure","can"
"thank u",11,"thank","u"
"thanks sharing",11,"thanks","sharing"
"that said",11,"that","said"
"the big",11,"the","big"
"the biggest",11,"the","biggest"
"the girl",11,"the","girl"
"the rest",11,"the","rest"
"the second",11,"the","second"
"the truth",11,"the","truth"
"the world",11,"the","world"
"think just",11,"think","just"
"tomorrow morning",11,"tomorrow","morning"
"u want",11,"u","want"
"us can",11,"us","can"
"want make",11,"want","make"
"want start",11,"want","start"
"wanted see",11,"wanted","see"
"well see",11,"well","see"
"what can",11,"what","can"
"what favorite",11,"what","favorite"
"whole lot",11,"whole","lot"
"will bring",11,"will","bring"
"will try",11,"will","try"
"work done",11,"work","done"
"work i",11,"work","i"
"work today",11,"work","today"
"work well",11,"work","well"
"years now",11,"years","now"
"yes im",11,"yes","im"
"yes please",11,"yes","please"
"yet another",11,"yet","another"
"you see",11,"you","see"
"across street",10,"across","street"
"american idol",10,"american","idol"
"and course",10,"and","course"
"and s",10,"and","s"
"another day",10,"another","day"
"another thing",10,"another","thing"
"anyway i",10,"anyway","i"
"awkward moment",10,"awkward","moment"
"back day",10,"back","day"
"back sleep",10,"back","sleep"
"blog post",10,"blog","post"
"breaking news",10,"breaking","news"
"brought home",10,"brought","home"
"but im",10,"but","im"
"but one",10,"but","one"
"can always",10,"can","always"
"can buy",10,"can","buy"
"can call",10,"can","call"
"can u",10,"can","u"
"come join",10,"come","join"
"couple years",10,"couple","years"
"day work",10,"day","work"
"did know",10,"did","know"
"do know",10,"do","know"
"e e",10,"e","e"
"email us",10,"email","us"
"end day",10,"end","day"
"ever get",10,"ever","get"
"everyone came",10,"everyone","came"
"find i",10,"find","i"
"first one",10,"first","one"
"first two",10,"first","two"
"follow us",10,"follow","us"
"get work",10,"get","work"
"getting back",10,"getting","back"
"go follow",10,"go","follow"
"good beer",10,"good","beer"
"great idea",10,"great","idea"
"he just",10,"he","just"
"he will",10,"he","will"
"health care",10,"health","care"
"help get",10,"help","get"
"here i",10,"here","i"
"highly recommend",10,"highly","recommend"
"hope get",10,"hope","get"
"husband i",10,"husband","i"
"i brought",10,"i","brought"
"i buy",10,"i","buy"
"i digress",10,"i","digress"
"i followed",10,"i","followed"
"i haven’t",10,"i","haven’t"
"i hit",10,"i","hit"
"i listen",10,"i","listen"
"i moved",10,"i","moved"
"i talked",10,"i","talked"
"i turned",10,"i","turned"
"if can",10,"if","can"
"if im",10,"if","im"
"ill get",10,"ill","get"
"im already",10,"im","already"
"im big",10,"im","big"
"im done",10,"im","done"
"im pretty",10,"im","pretty"
"im proud",10,"im","proud"
"im saying",10,"im","saying"
"im thinking",10,"im","thinking"
"in order",10,"in","order"
"it takes",10,"it","takes"
"it took",10,"it","took"
"its always",10,"its","always"
"its hard",10,"its","hard"
"just case",10,"just","case"
"just heard",10,"just","heard"
"just kidding",10,"just","kidding"
"just stop",10,"just","stop"
"just trying",10,"just","trying"
"just wait",10,"just","wait"
"just way",10,"just","way"
"know love",10,"know","love"
"las vegas",10,"las","vegas"
"like much",10,"like","much"
"like people",10,"like","people"
"lose weight",10,"lose","weight"
"love one",10,"love","one"
"many years",10,"many","years"
"means i",10,"means","i"
"my dad",10,"my","dad"
"my life",10,"my","life"
"not bad",10,"not","bad"
"not even",10,"not","even"
"now s",10,"now","s"
"olive oil",10,"olive","oil"
"omg i",10,"omg","i"
"one word",10,"one","word"
"past year",10,"past","year"
"peanut butter",10,"peanut","butter"
"please stop",10,"please","stop"
"post i",10,"post","i"
"preheat oven",10,"preheat","oven"
